epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,20079.8,0.21585,0.18654,0.78629,0.9999,0.99982,0.995,0.98087,0.14742,0.14479,0.77117,0.0003755,0.0003755,0.0003755
108,20270.7,0.218,0.18774,0.78782,0.99983,0.99981,0.995,0.98201,0.16264,0.14848,0.77126,0.00036725,0.00036725,0.00036725
109,20467.6,0.21604,0.18617,0.78553,0.9999,0.99982,0.995,0.97515,0.15505,0.14765,0.7714,0.000359,0.000359,0.000359
110,20664.9,0.22782,0.18978,0.78697,0.9999,0.99983,0.995,0.98351,0.16144,0.14875,0.77141,0.00035075,0.00035075,0.00035075
111,20867.1,0.228,0.18884,0.78794,0.99989,0.99983,0.995,0.97126,0.16596,0.14934,0.77224,0.0003425,0.0003425,0.0003425
112,21062.4,0.2106,0.18141,0.78728,0.99988,0.99982,0.995,0.97837,0.14902,0.1412,0.77119,0.00033425,0.00033425,0.00033425
113,21261.3,0.20714,0.18124,0.78615,0.99989,0.99983,0.995,0.97984,0.1501,0.14346,0.77105,0.000326,0.000326,0.000326
114,21459.6,0.20701,0.17965,0.78613,0.99987,0.99983,0.995,0.98202,0.14918,0.14116,0.77096,0.00031775,0.00031775,0.00031775
115,21650.8,0.20471,0.17845,0.78546,0.99987,0.99981,0.995,0.98413,0.154,0.14186,0.77118,0.0003095,0.0003095,0.0003095
116,21842.1,0.20255,0.17708,0.78673,0.9999,0.99982,0.995,0.97791,0.1574,0.1452,0.77118,0.00030125,0.00030125,0.00030125
117,22033.2,0.20715,0.18001,0.7877,0.9999,0.99981,0.995,0.97863,0.15337,0.14301,0.77094,0.000293,0.000293,0.000293
118,22223.9,0.2051,0.17796,0.78601,0.9999,0.99983,0.995,0.97673,0.15113,0.14142,0.7708,0.00028475,0.00028475,0.00028475
119,22412.2,0.20638,0.17864,0.78546,0.99989,0.99983,0.995,0.98341,0.15543,0.14421,0.77068,0.0002765,0.0002765,0.0002765
120,22601.2,0.20177,0.17741,0.78539,0.9999,0.99983,0.995,0.98141,0.1438,0.13889,0.77068,0.00026825,0.00026825,0.00026825
121,22790.9,0.20153,0.1767,0.78518,0.99988,0.99984,0.995,0.98702,0.14566,0.13829,0.77054,0.00026,0.00026,0.00026
122,22980.2,0.20178,0.1761,0.78557,0.99989,0.99984,0.995,0.97818,0.14318,0.13808,0.77078,0.00025175,0.00025175,0.00025175
123,23168.4,0.19699,0.17386,0.78539,0.9999,0.99983,0.995,0.98286,0.14159,0.13603,0.77021,0.0002435,0.0002435,0.0002435
124,23356.5,0.20278,0.17437,0.78656,0.99986,0.99983,0.995,0.98825,0.14972,0.1388,0.77036,0.00023525,0.00023525,0.00023525
125,23545.5,0.2114,0.17687,0.78644,0.99988,0.99983,0.995,0.9813,0.1428,0.13626,0.77054,0.000227,0.000227,0.000227
126,23733.3,0.20654,0.1748,0.78637,0.9999,0.99983,0.995,0.98286,0.14438,0.13636,0.7704,0.00021875,0.00021875,0.00021875
127,23921.6,0.1984,0.17289,0.78477,0.99989,0.99983,0.995,0.98376,0.1438,0.13572,0.7705,0.0002105,0.0002105,0.0002105
128,24109,0.19362,0.1716,0.78571,0.9999,0.99983,0.995,0.98761,0.14058,0.13429,0.77025,0.00020225,0.00020225,0.00020225
129,24299.2,0.2011,0.17364,0.78601,0.9999,0.99983,0.995,0.98091,0.15159,0.13905,0.7706,0.000194,0.000194,0.000194
130,24489.9,0.19872,0.17302,0.78593,0.99988,0.99983,0.995,0.98476,0.14634,0.13682,0.77028,0.00018575,0.00018575,0.00018575
131,24683.1,0.19454,0.17103,0.78573,0.99987,0.99982,0.995,0.9858,0.13913,0.13346,0.77024,0.0001775,0.0001775,0.0001775
132,24877.8,0.18637,0.16701,0.785,0.99988,0.99983,0.995,0.98574,0.13476,0.13183,0.77004,0.00016925,0.00016925,0.00016925
133,25070.1,0.18948,0.16834,0.78589,0.9999,0.99982,0.995,0.98633,0.14105,0.13388,0.77051,0.000161,0.000161,0.000161
134,25263.3,0.18748,0.16654,0.78463,0.99989,0.99983,0.995,0.98367,0.14052,0.13258,0.7707,0.00015275,0.00015275,0.00015275
135,25458,0.18651,0.16523,0.78601,0.9999,0.99983,0.995,0.98703,0.13638,0.13113,0.77038,0.0001445,0.0001445,0.0001445
136,25651.9,0.19171,0.16801,0.78616,0.9999,0.99983,0.995,0.98582,0.13979,0.1326,0.77028,0.00013625,0.00013625,0.00013625
137,25845.7,0.18974,0.16758,0.78484,0.99988,0.99983,0.995,0.98663,0.13481,0.12994,0.76997,0.000128,0.000128,0.000128
138,26040,0.1863,0.1661,0.78454,0.99988,0.99982,0.995,0.9884,0.13934,0.13099,0.77004,0.00011975,0.00011975,0.00011975
139,26233.2,0.18293,0.16455,0.78421,0.99989,0.99982,0.995,0.98656,0.13795,0.13003,0.76989,0.0001115,0.0001115,0.0001115
140,26425.1,0.18773,0.16608,0.78359,0.9999,0.99983,0.995,0.98735,0.13453,0.12982,0.77017,0.00010325,0.00010325,0.00010325
141,26616.1,0.18362,0.16299,0.78437,0.99989,0.99983,0.995,0.98798,0.14107,0.13188,0.77036,9.5e-05,9.5e-05,9.5e-05
142,26808.6,0.18042,0.16226,0.78458,0.9999,0.99982,0.995,0.98594,0.14107,0.13029,0.77022,8.675e-05,8.675e-05,8.675e-05
143,27000.7,0.18184,0.16285,0.78514,0.99989,0.99983,0.995,0.98482,0.13598,0.12895,0.77013,7.85e-05,7.85e-05,7.85e-05
144,27193.1,0.18055,0.1622,0.78378,0.9999,0.99983,0.995,0.98687,0.1341,0.128,0.76994,7.025e-05,7.025e-05,7.025e-05
145,27385.6,0.17823,0.16181,0.78395,0.99989,0.99983,0.995,0.98896,0.13355,0.12718,0.77003,6.2e-05,6.2e-05,6.2e-05
146,27578.2,0.17741,0.16051,0.7853,0.99989,0.99983,0.995,0.9878,0.13641,0.1278,0.76983,5.375e-05,5.375e-05,5.375e-05
147,27769.2,0.17747,0.16043,0.7846,0.9999,0.99983,0.995,0.98651,0.13302,0.12718,0.76992,4.55e-05,4.55e-05,4.55e-05
148,27961.5,0.17729,0.16018,0.78413,0.9999,0.99983,0.995,0.9885,0.13682,0.12814,0.76979,3.725e-05,3.725e-05,3.725e-05
149,28154.1,0.17722,0.16033,0.7843,0.9999,0.99983,0.995,0.98784,0.13066,0.12571,0.76982,2.9e-05,2.9e-05,2.9e-05
150,28346.5,0.17458,0.15902,0.78489,0.9999,0.99983,0.995,0.99056,0.1293,0.12568,0.7697,2.075e-05,2.075e-05,2.075e-05
